-182.346, 74.861, 1.679,  4.603
-182.333, 74.806, 1.685,  4.636
-182.320, 74.752, 1.691,  4.669
-182.308, 74.696, 1.696,  4.702
-182.295, 74.641, 1.702,  4.735
-182.283, 74.586, 1.708,  4.768
-182.270, 74.530, 1.714,  4.801
-182.258, 74.474, 1.720,  4.834
-182.245, 74.418, 1.726,  4.867
-182.233, 74.361, 1.732,  4.900
-182.221, 74.305, 1.738,  4.933
-182.208, 74.248, 1.744,  4.966
-182.196, 74.191, 1.750,  4.999
-182.184, 74.134, 1.756,  5.032
-182.172, 74.076, 1.762,  5.065
-182.160, 74.018, 1.768,  5.098
-182.148, 73.961, 1.774,  5.131
-182.137, 73.902, 1.780,  5.164
-182.125, 73.844, 1.786,  5.197
-182.113, 73.785, 1.792,  5.230
-182.102, 73.727, 1.799,  5.263
-182.090, 73.668, 1.805,  5.296
-182.079, 73.608, 1.811,  5.329
-182.067, 73.549, 1.817,  5.362
-182.056, 73.489, 1.823,  5.395
-182.045, 73.429, 1.829,  5.428
-182.033, 73.369, 1.836,  5.461
-182.022, 73.309, 1.842,  5.494
-182.011, 73.248, 1.848,  5.527
-182.001, 73.187, 1.855,  5.560
-181.990, 73.126, 1.861,  5.593
-181.979, 73.065, 1.867,  5.626
-181.968, 73.003, 1.873,  5.659
-181.958, 72.941, 1.880,  5.692
-181.947, 72.879, 1.886,  5.725
-181.937, 72.817, 1.893,  5.758
-181.926, 72.755, 1.899,  5.791
-181.916, 72.692, 1.906,  5.824
-181.906, 72.629, 1.912,  5.857
-181.896, 72.566, 1.919,  5.890
-181.886, 72.502, 1.925,  5.923
-181.876, 72.439, 1.932,  5.956
-181.866, 72.375, 1.938,  5.989
-181.857, 72.311, 1.945,  6.022
-181.847, 72.247, 1.951,  6.055
-181.838, 72.182, 1.958,  6.088
-181.828, 72.117, 1.964,  6.121
-181.819, 72.052, 1.971,  6.154
-181.810, 71.987, 1.978,  6.187
-181.800, 71.921, 1.984,  6.220
-181.791, 71.856, 1.991,  6.253
-181.782, 71.790, 1.998,  6.286
-181.774, 71.723, 2.005,  6.319
-181.765, 71.657, 2.011,  6.352
-181.756, 71.590, 2.018,  6.385
-181.748, 71.523, 2.025,  6.418
-181.739, 71.456, 2.032,  6.451
-181.731, 71.388, 2.039,  6.484
-181.722, 71.321, 2.046,  6.517
-181.714, 71.253, 2.052,  6.550
-181.706, 71.185, 2.059,  6.583
-181.698, 71.116, 2.066,  6.616
-181.690, 71.048, 2.073,  6.649
-181.682, 70.979, 2.080,  6.682
-181.675, 70.910, 2.087,  6.715
-181.667, 70.840, 2.094,  6.748
-181.660, 70.770, 2.101,  6.781
-181.652, 70.701, 2.108,  6.814
-181.645, 70.630, 2.115,  6.847
-181.638, 70.560, 2.122,  6.880
-181.631, 70.489, 2.129,  6.913
-181.624, 70.419, 2.136,  6.946
-181.617, 70.347, 2.144,  6.979
-181.610, 70.276, 2.151,  7.012
-181.603, 70.204, 2.158,  7.045
-181.597, 70.133, 2.165,  7.078
-181.590, 70.060, 2.173,  7.111
-181.584, 69.988, 2.180,  7.144
-181.577, 69.915, 2.187,  7.177
-181.571, 69.843, 2.194,  7.210
-181.565, 69.769, 2.202,  7.243
-181.559, 69.696, 2.209,  7.276
